match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2014_53,2014,Bangalore,24-05-2014,RCB,CSK,CSK,field,normal,0,CSK,0,8,Mahendra Singh Dhoni,1,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,AK Chaudhary,NJ Llong
2014_54,2014,Kolkata,24-05-2014,SRH,KKR,KKR,field,normal,0,KKR,0,4,Yusuf Pathan,171,"Eden Garden Stadium, Kolkata, West Bengal",3,RM Deshpande,BNJ Oxenford
2014_55,2014,Chandigarh,25-05-2014,DD,KXI,KXI,field,normal,0,KXI,0,7,Manan Vohra,478,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,HDPK Dharmasena,VA Kulkarni
2014_56,2014,Mumbai,25-05-2014,RR,MI,MI,field,normal,0,MI,0,5,Corey Anderson,519,"Wankhede Stadium, Mumbai, Maharashtra",1,K Srinath,RJ Tucker
2014_57,2014,Kolkata,27-05-2014,KKR,KXI,KXI,field,normal,0,KKR,28,0,Umesh Yadav,208,"Eden Garden Stadium, Kolkata, West Bengal",3,NJ Llong,S Ravi
2014_58,2014,Mumbai,28-05-2014,MI,CSK,CSK,field,normal,0,CSK,0,7,Suresh Raina,24,Brabourne Stadium,19,VA Kulkarni,BNJ Oxenford
2014_59,2014,Mumbai,30-05-2014,KXI,CSK,CSK,field,normal,0,KXI,24,0,Virender Sehwag,46,"Wankhede Stadium, Mumbai, Maharashtra",1,HDPK Dharmasena,RJ Tucker
2014_60,2014,Bangalore,01-06-2014,KXI,KKR,KKR,field,normal,0,KKR,0,3,Manish Pandey,120,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,HDPK Dharmasena,BNJ Oxenford
2015_1,2015,Kolkata,08-04-2015,MI,KKR,KKR,field,normal,0,KKR,0,7,Morne Morkel,169,"Eden Garden Stadium, Kolkata, West Bengal",3,S Ravi,C Shamshuddin
2015_2,2015,Chennai,09-04-2015,CSK,DD,DD,field,normal,0,CSK,1,0,Ashish Nehra,119,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,RK Illingworth,VA Kulkarni
2015_3,2015,Pune,10-04-2015,RR,KXI,KXI,field,normal,0,RR,26,0,James Faulkner,401,Maharashtra Cricket Association Stadium,32,SD Fry,CB Gaffaney
2015_4,2015,Chennai,11-04-2015,CSK,SRH,CSK,bat,normal,0,CSK,45,0,Brendon McCullum,82,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,RK Illingworth,VA Kulkarni
2015_5,2015,Kolkata,11-04-2015,KKR,RCB,RCB,field,normal,0,RCB,0,3,Chris Gayle,79,"Eden Garden Stadium, Kolkata, West Bengal",3,S Ravi,C Shamshuddin
2015_6,2015,Delhi,12-04-2015,DD,RR,RR,field,normal,0,RR,0,3,Deepak Hooda,529,"Feroz Shah Kotla Stadium, Delhi",2,SD Fry,CB Gaffaney
2015_7,2015,Mumbai,12-04-2015,KXI,MI,MI,field,normal,0,KXI,18,0,George Bailey,190,"Wankhede Stadium, Mumbai, Maharashtra",1,AK Chaudhary,K Srinivasan
2015_8,2015,Bangalore,13-04-2015,RCB,SRH,SRH,field,normal,0,SRH,0,8,David Warner,207,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,RM Deshpande,RK Illingworth
2015_9,2015,Ahmedabad,14-04-2015,MI,RR,MI,bat,normal,0,RR,0,7,Steven Smith,321,"Sardar Patel Stadium, Motera",20,AK Chaudhary,SD Fry
2015_10,2015,Kolkata,30-04-2015,CSK,KKR,KKR,field,normal,0,KKR,0,7,Andre Russell,430,"Eden Garden Stadium, Kolkata, West Bengal",3,AK Chaudhary,M Erasmus
2015_11,2015,Pune,15-04-2015,KXI,DD,KXI,bat,normal,0,DD,0,5,Mayank Agarwal,402,Maharashtra Cricket Association Stadium,32,CB Gaffaney,K Srinath
2015_12,2015,Visakhapatnam,16-04-2015,SRH,RR,RR,field,normal,0,RR,0,6,Ajinkya Rahane,122,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,25,PG Pathak,S Ravi
2015_13,2015,Mumbai,17-04-2015,MI,CSK,MI,bat,normal,0,CSK,0,6,Ashish Nehra,119,"Wankhede Stadium, Mumbai, Maharashtra",1,AK Chaudhary,M Erasmus
2015_14,2015,Visakhapatnam,18-04-2015,DD,SRH,DD,bat,normal,0,DD,4,0,J P Duminy,677,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,25,PG Pathak,S Ravi
2015_15,2015,Pune,18-04-2015,KXI,KKR,KKR,field,normal,0,KKR,0,4,Andre Russell,430,Maharashtra Cricket Association Stadium,32,SD Fry,CK Nandan
2015_16,2015,Ahmedabad,19-04-2015,CSK,RR,CSK,bat,normal,0,RR,0,8,Ajinkya Rahane,122,"Sardar Patel Stadium, Motera",20,AK Chaudhary,M Erasmus
2015_17,2015,Bangalore,19-04-2015,MI,RCB,RCB,field,normal,0,MI,18,0,Harbhajan Singh,131,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,RK Illingworth,VA Kulkarni
2015_18,2015,Delhi,20-04-2015,DD,KKR,KKR,field,normal,0,KKR,0,6,Umesh Yadav,208,"Feroz Shah Kotla Stadium, Delhi",2,SD Fry,CB Gaffaney
2015_19,2015,Ahmedabad,21-04-2015,RR,KXI,KXI,field,tie,0,KXI,0,0,Shaun Marsh,106,"Sardar Patel Stadium, Motera",20,M Erasmus,S Ravi
2015_20,2015,Visakhapatnam,22-04-2015,SRH,KKR,KKR,field,normal,1,SRH,16,0,David Warner,207,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,25,RK Illingworth,VA Kulkarni
2015_21,2015,Bangalore,22-04-2015,CSK,RCB,RCB,field,normal,0,CSK,27,0,Suresh Raina,24,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,JD Cloete,C Shamshuddin
